
[0](13:23:17)======== MONITA APP STARTING ===========
[1](13:23:18)Load file konfigurasi
[2](13:23:18)Baca konfig
[69](13:24:07)192.168.1.39: Timeout
[70](13:24:07)192.168.1.29: Timeout
[71](13:24:07)192.168.1.32: Timeout
[72](13:24:07)192.168.1.31: Timeout
[73](13:24:08)[0]-- TIME:20081027-132408

[74](13:24:09)[1]-- TIME:20081027-132409

[75](13:24:10)[2]-- TIME:20081027-132410

[76](13:24:11)[3]-- TIME:20081027-132411

[77](13:24:11)192.168.1.110: Timeout
[78](13:24:11)192.168.1.110: Timeout
[79](13:24:11)192.168.1.110: Timeout
[80](13:24:11)192.168.1.110: Timeout
[81](13:24:11)192.168.1.110: Timeout
[82](13:24:11)192.168.1.18: Timeout
[83](13:24:11)192.168.1.19: Timeout
[84](13:24:11)192.168.1.25: Timeout
[85](13:24:11)192.168.1.27: Timeout
[86](13:24:11)192.168.1.39: Timeout
[87](13:24:11)192.168.1.29: Timeout
[88](13:24:11)192.168.1.32: Timeout
[89](13:24:11)192.168.1.31: Timeout
[90](13:24:12)[0]-- TIME:20081027-132412

[91](13:24:13)[1]-- TIME:20081027-132413

[92](13:24:14)[2]-- TIME:20081027-132414

[93](13:24:15)[3]-- TIME:20081027-132415

[94](13:24:15)192.168.1.110: Timeout
[95](13:24:15)192.168.1.110: Timeout
[96](13:24:15)192.168.1.110: Timeout
[97](13:24:15)192.168.1.110: Timeout
[98](13:24:15)192.168.1.110: Timeout
[99](13:24:15)192.168.1.18: Timeout
[100](13:24:15)192.168.1.19: Timeout
[101](13:24:15)192.168.1.25: Timeout
[102](13:24:15)192.168.1.27: Timeout
[103](13:24:15)192.168.1.39: Timeout
[104](13:24:15)192.168.1.29: Timeout
[105](13:24:15)192.168.1.32: Timeout
[106](13:24:15)192.168.1.31: Timeout
[107](13:24:16)[0]-- TIME:20081027-132416

[108](13:24:17)[1]-- TIME:20081027-132417

[109](13:24:18)[2]-- TIME:20081027-132418

[110](13:24:19)[3]-- TIME:20081027-132419

[111](13:24:19)192.168.1.110: Timeout
[112](13:24:19)192.168.1.110: Timeout
[113](13:24:19)192.168.1.110: Timeout
[114](13:24:19)192.168.1.110: Timeout
[115](13:24:19)192.168.1.110: Timeout
[116](13:24:19)192.168.1.18: Timeout
[117](13:24:19)192.168.1.19: Timeout
[118](13:24:19)192.168.1.25: Timeout
[119](13:24:19)192.168.1.27: Timeout
[120](13:24:19)192.168.1.39: Timeout
[121](13:24:19)192.168.1.29: Timeout
[122](13:24:19)192.168.1.32: Timeout
[123](13:24:19)192.168.1.31: Timeout
[124](13:24:20)[0]-- TIME:20081027-132420

[125](13:24:21)[1]-- TIME:20081027-132421

[126](13:24:22)[2]-- TIME:20081027-132422

[127](13:24:23)[3]-- TIME:20081027-132423

[128](13:24:23)192.168.1.110: Timeout
[129](13:24:23)192.168.1.110: Timeout
[130](13:24:23)192.168.1.110: Timeout
[131](13:24:23)192.168.1.110: Timeout
[132](13:24:23)192.168.1.110: Timeout
[133](13:24:23)192.168.1.18: Timeout
[134](13:24:23)192.168.1.19: Timeout
[135](13:24:23)192.168.1.25: Timeout
[136](13:24:23)192.168.1.27: Timeout
[137](13:24:23)192.168.1.39: Timeout
[138](13:24:23)192.168.1.29: Timeout
[139](13:24:23)192.168.1.32: Timeout
[140](13:24:23)192.168.1.31: Timeout
[141](13:24:24)[0]-- TIME:20081027-132424

[142](13:24:25)[1]-- TIME:20081027-132425

[143](13:24:26)[2]-- TIME:20081027-132426

[144](13:24:27)[3]-- TIME:20081027-132427

[145](13:24:27)192.168.1.110: Timeout
[146](13:24:27)192.168.1.110: Timeout
[147](13:24:27)192.168.1.110: Timeout
[148](13:24:27)192.168.1.110: Timeout
[149](13:24:27)192.168.1.110: Timeout
[150](13:24:27)192.168.1.18: Timeout
[151](13:24:27)192.168.1.19: Timeout
[152](13:24:27)192.168.1.25: Timeout
[153](13:24:27)192.168.1.27: Timeout
[154](13:24:27)192.168.1.39: Timeout
[155](13:24:27)192.168.1.29: Timeout
[156](13:24:27)192.168.1.32: Timeout
[157](13:24:27)192.168.1.31: Timeout
[158](13:24:29)[0]-- TIME:20081027-132429

[159](13:24:30)Stop logging data
[160](13:24:30)[2]-- TIME:20081027-132430

[161](13:24:38)======== MONITA APP CLOSING =========
[162](13:24:38)============ BYE BYE ===============
