
[0](10:01:43)======== MONITA APP STARTING ===========
[1](10:01:43)Load file konfigurasi
[2](10:01:43)Baca konfig
[3](10:01:43)Baca konfig: OK
[4](10:01:44)Mulai logging data
[243](10:04:24)192.168.1.31: Timeout
[244](10:04:24)192.168.1.32: Timeout
[245](10:04:25)[0]-- TIME:20081026-100425

[246](10:04:26)[1]-- TIME:20081026-100426

[247](10:04:27)[2]-- TIME:20081026-100427

[248](10:04:28)[3]-- TIME:20081026-100428

[249](10:04:28)192.168.1.31: Timeout
[250](10:04:28)192.168.1.32: Timeout
[251](10:04:29)[0]-- TIME:20081026-100429

[252](10:04:30)[1]-- TIME:20081026-100430

[253](10:04:31)[2]-- TIME:20081026-100431

[254](10:04:32)[3]-- TIME:20081026-100432

[255](10:04:32)192.168.1.31: Timeout
[256](10:04:32)192.168.1.32: Timeout
[257](10:04:33)[0]-- TIME:20081026-100433

[258](10:04:34)[1]-- TIME:20081026-100434

[259](10:04:35)[2]-- TIME:20081026-100435

[260](10:04:36)[3]-- TIME:20081026-100436

[261](10:04:36)192.168.1.31: Timeout
[262](10:04:36)192.168.1.32: Timeout
[263](10:04:37)[0]-- TIME:20081026-100437

[264](10:04:38)[1]-- TIME:20081026-100438

[265](10:04:39)[2]-- TIME:20081026-100439

[266](10:04:40)[3]-- TIME:20081026-100440

[267](10:04:40)192.168.1.31: Timeout
[268](10:04:40)192.168.1.32: Timeout
[269](10:04:41)[0]-- TIME:20081026-100441

[270](10:04:42)[1]-- TIME:20081026-100442

[271](10:04:43)[2]-- TIME:20081026-100443

[272](10:04:44)[3]-- TIME:20081026-100444

[273](10:04:44)192.168.1.31: Timeout
[274](10:04:44)192.168.1.32: Timeout
[275](10:04:45)[0]-- TIME:20081026-100445

[276](10:04:46)[1]-- TIME:20081026-100446

[277](10:04:47)[2]-- TIME:20081026-100447

[278](10:04:48)[3]-- TIME:20081026-100448

[279](10:04:48)192.168.1.31: Timeout
[280](10:04:48)192.168.1.32: Timeout
[281](10:04:49)[0]-- TIME:20081026-100449

[282](10:04:50)[1]-- TIME:20081026-100450

[283](10:04:51)[2]-- TIME:20081026-100451

[284](10:04:52)[3]-- TIME:20081026-100452

[285](10:04:52)192.168.1.31: Timeout
[286](10:04:52)192.168.1.32: Timeout
[287](10:04:53)[0]-- TIME:20081026-100453

[288](10:04:54)[1]-- TIME:20081026-100454

[289](10:04:55)[2]-- TIME:20081026-100455

[290](10:04:56)[3]-- TIME:20081026-100456

[291](10:04:57)192.168.1.31: Timeout
[292](10:04:57)192.168.1.32: Timeout
[293](10:04:57)[0]-- TIME:20081026-100457

[294](10:04:58)[1]-- TIME:20081026-100458

